graph_id,run,k,2core_flag,runtime_ms,cycles,paths
5,0,8, false,178.433000000, 413,159148
5,1,8, false,189.019000000, 413,159148
6,0,8, false,190.559000000, 372,160486
6,1,8, false,190.271000000, 372,160486
7,0,8, false,181.948000000, 390,157524
7,1,8, false,178.071000000, 390,157524
8,0,8, false,187.384000000, 447,167614
8,1,8, false,189.209000000, 447,167614
9,0,8, false,190.558000000, 408,162406
9,1,8, false,185.379000000, 408,162406
0,0,9, false,625.129000000, 1000,159434| 631484
0,1,9, false,641.878000000, 1000,159434| 631484
1,0,9, false,594.493000000, 1043,161290| 641764
1,1,9, false,601.964000000, 1043,161290| 641764
2,0,9, false,697.803000000, 1198,169412| 685980
2,1,9, false,625.200000000, 1198,169412| 685980
3,0,9, false,626.627000000, 1216,166480| 670274
3,1,9, false,622.027000000, 1216,166480| 670274
4,0,9, false,580.038000000, 865,156666| 616234
4,1,9, false,580.978000000, 865,156666| 616234
5,0,9, false,581.008000000, 1137,159148| 635466
5,1,9, false,586.416000000, 1137,159148| 635466
6,0,9, false,589.369000000, 1026,160486| 640176
6,1,9, false,594.928000000, 1026,160486| 640176
7,0,9, false,657.200000000, 986,157524| 625256
7,1,9, false,585.299000000, 986,157524| 625256
8,0,9, false,618.281000000, 1161,167614| 675384
8,1,9, false,671.555000000, 1161,167614| 675384
9,0,9, false,638.618000000, 1091,162406| 649666
9,1,9, false,594.838000000, 1091,162406| 649666
0,0,10, false,618.543000000, 2571,472050
0,1,10, false,668.504000000, 2571,472050
1,0,10, false,656.547000000, 2727,480474
1,1,10, false,633.870000000, 2727,480474
2,0,10, false,662.835000000, 3401,516568
2,1,10, false,663.457000000, 3401,516568
3,0,10, false,660.130000000, 3244,503794
3,1,10, false,659.260000000, 3244,503794
4,0,10, false,605.225000000, 2240,459568
4,1,10, false,623.790000000, 2240,459568
5,0,10, false,701.243000000, 2867,476318
5,1,10, false,615.018000000, 2867,476318
6,0,10, false,617.204000000, 2686,479690
6,1,10, false,617.427000000, 2686,479690
7,0,10, false,603.495000000, 2622,467732
7,1,10, false,604.036000000, 2622,467732
8,0,10, false,652.057000000, 3255,507770
8,1,10, false,720.273000000, 3255,507770
9,0,10, false,635.196000000, 2933,487260
9,1,10, false,625.838000000, 2933,487260
0,0,11, false,1836.821000000, 6902,472050| 1868366
0,1,11, false,1881.960000000, 6902,472050| 1868366
1,0,11, false,1903.436000000, 7362,480474| 1911282
1,1,11, false,1850.671000000, 7362,480474| 1911282
2,0,11, false,1988.000000000, 9284,516568| 2087698
2,1,11, false,1966.146000000, 9284,516568| 2087698
3,0,11, false,1909.608000000, 9067,503794| 2028860
3,1,11, false,1970.511000000, 9067,503794| 2028860
4,0,11, false,1767.324000000, 6150,459568| 1803414
4,1,11, false,1755.259000000, 6150,459568| 1803414
5,0,11, false,1807.126000000, 7802,476318| 1902690
