config_id,graph_id,run,k,runtime_ms,cycles,paths
3,4,0,2,0.0188403, 4,3862
3,4,1,2,0.0179148, 4,3862
3,4,2,2,0.0192742, 4,3862
3,4,3,2,0.0188017, 4,3862
3,4,4,2,0.0259588, 4,3862
3,4,5,2,0.0263824, 4,3862
3,4,6,2,0.0223687, 4,3862
3,4,7,2,0.0240798, 4,3862
3,4,8,2,0.0210509, 4,3862
3,4,9,2,0.0182283, 4,3862
3,5,0,2,0.0278602, 1,3852
3,5,1,2,0.0358562, 1,3852
3,5,2,2,0.0348814, 1,3852
3,5,3,2,0.0185413, 1,3852
3,5,4,2,0.0200284, 1,3852
3,5,5,2,0.0186527, 1,3852
3,5,6,2,0.0177369, 1,3852
3,5,7,2,0.0193973, 1,3852
3,5,8,2,0.017164, 1,3852
3,5,9,2,0.0168397, 1,3852
3,6,0,2,0.0191205, 1,3833
3,6,1,2,0.0425587, 1,3833
3,6,2,2,0.038106, 1,3833
3,6,3,2,0.0376921, 1,3833
3,6,4,2,0.0249355, 1,3833
3,6,5,2,0.019244, 1,3833
3,6,6,2,0.0214009, 1,3833
3,6,7,2,0.0192819, 1,3833
3,6,8,2,0.0194619, 1,3833
3,6,9,2,0.019753, 1,3833
3,7,0,2,0.0185781, 3,3849
3,7,1,2,0.0172307, 3,3849
3,7,2,2,0.0217724, 3,3849
3,7,3,2,0.045424, 3,3849
3,7,4,2,0.0387726, 3,3849
3,7,5,2,0.0370686, 3,3849
3,7,6,2,0.0554175, 3,3849
3,7,7,2,0.050988, 3,3849
3,7,8,2,0.0321779, 3,3849
3,7,9,2,0.0404162, 3,3849
3,8,0,2,0.0423229, 2,3844
3,8,1,2,0.0237336, 2,3844
3,8,2,2,0.0261772, 2,3844
3,8,3,2,0.0185533, 2,3844
3,8,4,2,0.0171275, 2,3844
3,8,5,2,0.0179403, 2,3844
3,8,6,2,0.0268562, 2,3844
3,8,7,2,0.0229425, 2,3844
3,8,8,2,0.0316212, 2,3844
3,8,9,2,0.0492365, 2,3844
3,9,0,2,0.0467618, 0,3852
3,9,1,2,0.0205746, 0,3852
3,9,2,2,0.0186753, 0,3852
3,9,3,2,0.0184519, 0,3852
3,9,4,2,0.0183754, 0,3852
3,9,5,2,0.0176153, 0,3852
3,9,6,2,0.0177078, 0,3852
3,9,7,2,0.0169315, 0,3852
3,9,8,2,0.0170588, 0,3852
3,9,9,2,0.0175309, 0,3852
4,0,0,2,0.0910923, 4,5762
4,0,1,2,0.075279, 4,5762
4,0,2,2,0.051249, 4,5762
4,0,3,2,0.0503356, 4,5762
4,0,4,2,0.0492613, 4,5762
4,0,5,2,0.0525753, 4,5762
4,0,6,2,0.0891123, 4,5762
4,0,7,2,0.057945, 4,5762
4,0,8,2,0.0569108, 4,5762
4,0,9,2,0.0565219, 4,5762
4,1,0,2,0.0577638, 2,5765
4,1,1,2,0.0587847, 2,5765
4,1,2,2,0.0545471, 2,5765
4,1,3,2,0.0669296, 2,5765
4,1,4,2,0.0658722, 2,5765
4,1,5,2,0.0666294, 2,5765
4,1,6,2,0.0627639, 2,5765
4,1,7,2,0.0592763, 2,5765
4,1,8,2,0.0570366, 2,5765
4,1,9,2,0.0522568, 2,5765
4,2,0,2,0.0560124, 2,5772
4,2,1,2,0.0749161, 2,5772
4,2,2,2,0.0529509, 2,5772
4,2,3,2,0.0518701, 2,5772
4,2,4,2,0.0615602, 2,5772
4,2,5,2,0.069766, 2,5772
4,2,6,2,0.0613253, 2,5772
4,2,7,2,0.0628061, 2,5772
4,2,8,2,0.0530913, 2,5772
4,2,9,2,0.0543122, 2,5772
4,3,0,2,0.0556238, 2,5761
4,3,1,2,0.0536418, 2,5761
4,3,2,2,0.0602019, 2,5761
4,3,3,2,0.0546498, 2,5761
4,3,4,2,0.0684619, 2,5761
4,3,5,2,0.0653515, 2,5761
4,3,6,2,0.0676918, 2,5761
4,3,7,2,0.0623591, 2,5761
4,3,8,2,0.0582297, 2,5761
4,3,9,2,0.0529995, 2,5761
4,4,0,2,0.0525105, 2,5753
4,4,1,2,0.0682793, 2,5753
4,4,2,2,0.0723634, 2,5753
4,4,3,2,0.0505002, 2,5753
4,4,4,2,0.0583556, 2,5753
4,4,5,2,0.0730283, 2,5753
4,4,6,2,0.0597591, 2,5753
4,4,7,2,0.062083, 2,5753
4,4,8,2,0.0752027, 2,5753
4,4,9,2,0.0631607, 2,5753
4,5,0,2,0.0527532, 4,5785
4,5,1,2,0.0510468, 4,5785
4,5,2,2,0.0500042, 4,5785
4,5,3,2,0.0637145, 4,5785
4,5,4,2,0.0989532, 4,5785
4,5,5,2,0.0722377, 4,5785
4,5,6,2,0.0522966, 4,5785
4,5,7,2,0.0517871, 4,5785
4,5,8,2,0.0499756, 4,5785
4,5,9,2,0.05217, 4,5785
4,6,0,2,0.105316, 0,5758
4,6,1,2,0.111248, 0,5758
4,6,2,2,0.11379, 0,5758
4,6,3,2,0.0960557, 0,5758
4,6,4,2,0.0728226, 0,5758
4,6,5,2,0.0653546, 0,5758
4,6,6,2,0.0530229, 0,5758
4,6,7,2,0.0626175, 0,5758
4,6,8,2,0.0813296, 0,5758
4,6,9,2,0.0873044, 0,5758
4,7,0,2,0.0516896, 0,5768
4,7,1,2,0.0508256, 0,5768
4,7,2,2,0.0502949, 0,5768
4,7,3,2,0.0505996, 0,5768
4,7,4,2,0.0876231, 0,5768
4,7,5,2,0.0832098, 0,5768
4,7,6,2,0.0515006, 0,5768
4,7,7,2,0.0520439, 0,5768
4,7,8,2,0.0508814, 0,5768
4,7,9,2,0.050823, 0,5768
4,8,0,2,0.086571, 0,5745
4,8,1,2,0.0565689, 0,5745
4,8,2,2,0.0523136, 0,5745
4,8,3,2,0.0565372, 0,5745
4,8,4,2,0.0562685, 0,5745
4,8,5,2,0.0543036, 0,5745
4,8,6,2,0.0593166, 0,5745
4,8,7,2,0.0566566, 0,5745
4,8,8,2,0.0562131, 0,5745
4,8,9,2,0.0552688, 0,5745
4,9,0,2,0.0556598, 2,5757
4,9,1,2,0.0520041, 2,5757
4,9,2,2,0.0504713, 2,5757
