graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
7,1,12,3,"4 4 4",2.75067, 13111,32084
8,1,12,3,"4 4 4",3.37849, 22332,36228
9,1,12,3,"4 4 4",3.30867, 18871,35586
0,2,12,3,"4 4 4",2.86776, 13248,32606
1,2,12,3,"4 4 4",3.19719, 18245,35464
2,2,12,3,"4 4 4",3.39473, 18805,36204
3,2,12,3,"4 4 4",3.44663, 22607,36834
4,2,12,3,"4 4 4",2.70463, 10309,31346
5,2,12,3,"4 4 4",2.98895, 14005,33730
6,2,12,3,"4 4 4",3.3842, 15936,35746
7,2,12,3,"4 4 4",2.64179, 13111,32084
8,2,12,3,"4 4 4",3.36368, 22332,36228
9,2,12,3,"4 4 4",3.29502, 18871,35586
0,3,12,3,"4 4 4",2.84437, 13248,32606
1,3,12,3,"4 4 4",3.19712, 18245,35464
2,3,12,3,"4 4 4",3.37797, 18805,36204
3,3,12,3,"4 4 4",3.346, 22607,36834
4,3,12,3,"4 4 4",2.71841, 10309,31346
5,3,12,3,"4 4 4",2.98555, 14005,33730
6,3,12,3,"4 4 4",3.28907, 15936,35746
7,3,12,3,"4 4 4",2.65003, 13111,32084
8,3,12,3,"4 4 4",3.39398, 22332,36228
9,3,12,3,"4 4 4",3.30048, 18871,35586
0,4,12,3,"4 4 4",2.83906, 13248,32606
1,4,12,3,"4 4 4",3.20266, 18245,35464
2,4,12,3,"4 4 4",3.38216, 18805,36204
3,4,12,3,"4 4 4",3.43395, 22607,36834
4,4,12,3,"4 4 4",2.74835, 10309,31346
5,4,12,3,"4 4 4",2.99822, 14005,33730
6,4,12,3,"4 4 4",3.35474, 15936,35746
7,4,12,3,"4 4 4",2.68391, 13111,32084
8,4,12,3,"4 4 4",3.36646, 22332,36228
9,4,12,3,"4 4 4",3.29944, 18871,35586
0,5,12,3,"4 4 4",2.83633, 13248,32606
1,5,12,3,"4 4 4",3.25446, 18245,35464
2,5,12,3,"4 4 4",3.38206, 18805,36204
3,5,12,3,"4 4 4",3.55048, 22607,36834
4,5,12,3,"4 4 4",2.71269, 10309,31346
5,5,12,3,"4 4 4",3.03716, 14005,33730
6,5,12,3,"4 4 4",3.33351, 15936,35746
7,5,12,3,"4 4 4",2.67761, 13111,32084
8,5,12,3,"4 4 4",3.3985, 22332,36228
9,5,12,3,"4 4 4",3.30714, 18871,35586
0,6,12,3,"4 4 4",2.88369, 13248,32606
1,6,12,3,"4 4 4",3.20169, 18245,35464
2,6,12,3,"4 4 4",3.39063, 18805,36204
3,6,12,3,"4 4 4",3.48588, 22607,36834
4,6,12,3,"4 4 4",2.72253, 10309,31346
5,6,12,3,"4 4 4",2.98092, 14005,33730
6,6,12,3,"4 4 4",3.3418, 15936,35746
7,6,12,3,"4 4 4",2.69295, 13111,32084
8,6,12,3,"4 4 4",3.37704, 22332,36228
9,6,12,3,"4 4 4",3.19974, 18871,35586
0,7,12,3,"4 4 4",2.84335, 13248,32606
1,7,12,3,"4 4 4",3.21038, 18245,35464
2,7,12,3,"4 4 4",3.43114, 18805,36204
3,7,12,3,"4 4 4",3.45513, 22607,36834
4,7,12,3,"4 4 4",2.72256, 10309,31346
5,7,12,3,"4 4 4",2.99429, 14005,33730
6,7,12,3,"4 4 4",3.33492, 15936,35746
7,7,12,3,"4 4 4",2.65285, 13111,32084
8,7,12,3,"4 4 4",3.41944, 22332,36228
9,7,12,3,"4 4 4",3.30553, 18871,35586
0,8,12,3,"4 4 4",2.83254, 13248,32606
1,8,12,3,"4 4 4",3.18804, 18245,35464
2,8,12,3,"4 4 4",3.38753, 18805,36204
3,8,12,3,"4 4 4",3.44196, 22607,36834
4,8,12,3,"4 4 4",2.71543, 10309,31346
5,8,12,3,"4 4 4",2.98211, 14005,33730
6,8,12,3,"4 4 4",3.36238, 15936,35746
7,8,12,3,"4 4 4",2.67146, 13111,32084
8,8,12,3,"4 4 4",3.35555, 22332,36228
9,8,12,3,"4 4 4",3.29527, 18871,35586
0,9,12,3,"4 4 4",2.84184, 13248,32606
1,9,12,3,"4 4 4",3.2012, 18245,35464
2,9,12,3,"4 4 4",3.39175, 18805,36204
3,9,12,3,"4 4 4",3.43272, 22607,36834
4,9,12,3,"4 4 4",2.73559, 10309,31346
5,9,12,3,"4 4 4",2.98551, 14005,33730
6,9,12,3,"4 4 4",3.35358, 15936,35746
7,9,12,3,"4 4 4",2.64739, 13111,32084
8,9,12,3,"4 4 4",3.37362, 22332,36228
9,9,12,3,"4 4 4",3.32054, 18871,35586
0,0,12,4,"2 5 5",1.06558, 13248,3876| 97742
1,0,12,4,"2 5 5",1.20963, 18245,3992| 108944
2,0,12,4,"2 5 5",1.21878, 18805,4006| 111540
3,0,12,4,"2 5 5",1.30204, 22607,4036| 114870
4,0,12,4,"2 5 5",0.997035, 10309,3858| 92390
5,0,12,4,"2 5 5",1.11055, 14005,3932| 101424
6,0,12,4,"2 5 5",1.22666, 15936,4062| 108616
7,0,12,4,"2 5 5",1.02071, 13111,3856| 96538
8,0,12,4,"2 5 5",1.26463, 22332,3954| 113512
9,0,12,4,"2 5 5",1.20253, 18871,3954| 109728
0,1,12,4,"2 5 5",1.05741, 13248,3876| 97742
1,1,12,4,"2 5 5",1.22381, 18245,3992| 108944
2,1,12,4,"2 5 5",1.22987, 18805,4006| 111540
3,1,12,4,"2 5 5",1.29172, 22607,4036| 114870
4,1,12,4,"2 5 5",0.99466, 10309,3858| 92390
5,1,12,4,"2 5 5",1.10245, 14005,3932| 101424
6,1,12,4,"2 5 5",1.22114, 15936,4062| 108616
7,1,12,4,"2 5 5",1.02669, 13111,3856| 96538
8,1,12,4,"2 5 5",1.2675, 22332,3954| 113512
9,1,12,4,"2 5 5",1.20575, 18871,3954| 109728
0,2,12,4,"2 5 5",1.06409, 13248,3876| 97742
1,2,12,4,"2 5 5",1.43813, 18245,3992| 108944
2,2,12,4,"2 5 5",1.23186, 18805,4006| 111540
3,2,12,4,"2 5 5",1.29642, 22607,4036| 114870
4,2,12,4,"2 5 5",0.995805, 10309,3858| 92390
5,2,12,4,"2 5 5",1.10474, 14005,3932| 101424
6,2,12,4,"2 5 5",1.22137, 15936,4062| 108616
7,2,12,4,"2 5 5",1.02352, 13111,3856| 96538
8,2,12,4,"2 5 5",1.26149, 22332,3954| 113512
9,2,12,4,"2 5 5",1.20387, 18871,3954| 109728
0,3,12,4,"2 5 5",1.48379, 13248,3876| 97742
