graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
1,6,12,3,"6 6",0.221631, 18245,309628
2,6,12,3,"6 6",0.224301, 18805,317672
3,6,12,3,"6 6",0.246814, 22607,332290
4,6,12,3,"6 6",0.163119, 10309,249200
5,6,12,3,"6 6",0.192468, 14005,280666
6,6,12,3,"6 6",0.209642, 15936,304106
7,6,12,3,"6 6",0.177688, 13111,266362
8,6,12,3,"6 6",0.24953, 22332,329848
9,6,12,3,"6 6",0.219958, 18871,312558
0,7,12,3,"6 6",0.179771, 13248,269496
1,7,12,3,"6 6",0.223428, 18245,309628
2,7,12,3,"6 6",0.224709, 18805,317672
3,7,12,3,"6 6",0.245482, 22607,332290
4,7,12,3,"6 6",0.157585, 10309,249200
5,7,12,3,"6 6",0.191443, 14005,280666
6,7,12,3,"6 6",0.208927, 15936,304106
7,7,12,3,"6 6",0.185051, 13111,266362
8,7,12,3,"6 6",0.250068, 22332,329848
9,7,12,3,"6 6",0.222502, 18871,312558
0,8,12,3,"6 6",0.179922, 13248,269496
1,8,12,3,"6 6",0.223227, 18245,309628
2,8,12,3,"6 6",0.223739, 18805,317672
3,8,12,3,"6 6",0.247238, 22607,332290
4,8,12,3,"6 6",0.159853, 10309,249200
5,8,12,3,"6 6",0.193738, 14005,280666
6,8,12,3,"6 6",0.209788, 15936,304106
7,8,12,3,"6 6",0.176051, 13111,266362
8,8,12,3,"6 6",0.249835, 22332,329848
9,8,12,3,"6 6",0.220854, 18871,312558
0,9,12,3,"6 6",0.180539, 13248,269496
1,9,12,3,"6 6",0.22119, 18245,309628
2,9,12,3,"6 6",0.223087, 18805,317672
3,9,12,3,"6 6",0.246475, 22607,332290
4,9,12,3,"6 6",0.158281, 10309,249200
5,9,12,3,"6 6",0.192655, 14005,280666
6,9,12,3,"6 6",0.214803, 15936,304106
7,9,12,3,"6 6",0.176548, 13111,266362
8,9,12,3,"6 6",0.250378, 22332,329848
9,9,12,3,"6 6",0.220472, 18871,312558
0,0,12,4,"7 5",0.391435, 13248,771770| 865636
1,0,12,4,"7 5",0.462091, 18245,908902| 1013854
2,0,12,4,"7 5",0.475706, 18805,935044| 1042578
3,0,12,4,"7 5",0.507156, 22607,993920| 1104754
4,0,12,4,"7 5",0.358044, 10309,698632| 787164
5,0,12,4,"7 5",0.418255, 14005,808084| 905576
6,0,12,4,"7 5",0.453924, 15936,882820| 987374
7,0,12,4,"7 5",0.391217, 13111,761822| 854504
8,0,12,4,"7 5",0.51916, 22332,986764| 1096322
9,0,12,4,"7 5",0.473103, 18871,921220| 1026994
0,1,12,4,"7 5",0.392966, 13248,771770| 865636
