graph_id,run,k,join,runtime_ms,cycles,paths
4,4,5,2,0.00967455, 18,3858| 14902
5,4,5,2,0.00943112, 21,3932| 15504
6,4,5,2,0.00969005, 22,4062| 16186
7,4,5,2,0.00924015, 16,3856| 14958
8,4,5,2,0.00953269, 17,3954| 15860
9,4,5,2,0.00959253, 27,3954| 15838
0,5,5,2,0.00956774, 22,3876| 15118
1,5,5,2,0.0116351, 30,3992| 15902
2,5,5,2,0.0119758, 21,4006| 16112
3,5,5,2,0.0171039, 13,4036| 16258
4,5,5,2,0.0143542, 18,3858| 14902
5,5,5,2,0.0101445, 21,3932| 15504
6,5,5,2,0.00986052, 22,4062| 16186
7,5,5,2,0.00951004, 16,3856| 14958
8,5,5,2,0.00949979, 17,3954| 15860
9,5,5,2,0.00964379, 27,3954| 15838
0,6,5,2,0.00959778, 22,3876| 15118
1,6,5,2,0.0096519, 30,3992| 15902
2,6,5,2,0.0109816, 21,4006| 16112
3,6,5,2,0.0110366, 13,4036| 16258
4,6,5,2,0.0103614, 18,3858| 14902
5,6,5,2,0.0104861, 21,3932| 15504
6,6,5,2,0.0107853, 22,4062| 16186
7,6,5,2,0.0107381, 16,3856| 14958
8,6,5,2,0.0100827, 17,3954| 15860
9,6,5,2,0.00976992, 27,3954| 15838
0,7,5,2,0.00931191, 22,3876| 15118
1,7,5,2,0.0109842, 30,3992| 15902
2,7,5,2,0.0101984, 21,4006| 16112
3,7,5,2,0.0101612, 13,4036| 16258
4,7,5,2,0.0095036, 18,3858| 14902
5,7,5,2,0.00965858, 21,3932| 15504
6,7,5,2,0.00986171, 22,4062| 16186
7,7,5,2,0.00997138, 16,3856| 14958
8,7,5,2,0.0105813, 17,3954| 15860
9,7,5,2,0.0102737, 27,3954| 15838
0,8,5,2,0.0100935, 22,3876| 15118
1,8,5,2,0.0106533, 30,3992| 15902
2,8,5,2,0.0107102, 21,4006| 16112
3,8,5,2,0.0111692, 13,4036| 16258
4,8,5,2,0.0122063, 18,3858| 14902
5,8,5,2,0.0104635, 21,3932| 15504
6,8,5,2,0.0109262, 22,4062| 16186
7,8,5,2,0.0107772, 16,3856| 14958
8,8,5,2,0.0111904, 17,3954| 15860
9,8,5,2,0.0105782, 27,3954| 15838
0,9,5,2,0.0105364, 22,3876| 15118
1,9,5,2,0.0117409, 30,3992| 15902
2,9,5,2,0.0114574, 21,4006| 16112
3,9,5,2,0.0111847, 13,4036| 16258
4,9,5,2,0.0106637, 18,3858| 14902
5,9,5,2,0.0108266, 21,3932| 15504
6,9,5,2,0.0108261, 22,4062| 16186
7,9,5,2,0.0101445, 16,3856| 14958
8,9,5,2,0.0103557, 17,3954| 15860
9,9,5,2,0.00993872, 27,3954| 15838
0,0,5,3,0.0283115, 22,1310| 5186
1,0,5,3,0.0314302, 30,1348| 5340
2,0,5,3,0.0242515, 21,1326| 5332
3,0,5,3,0.02741, 13,1322| 5358
4,0,5,3,0.026983, 18,1352| 5210
5,0,5,3,0.0296466, 21,1352| 5284
6,0,5,3,0.0298874, 22,1342| 5404
7,0,5,3,0.033586, 16,1330| 5186
8,0,5,3,0.0250041, 17,1318| 5272
9,0,5,3,0.0241845, 27,1308| 5262
0,1,5,3,0.024051, 22,1310| 5186
1,1,5,3,0.0306962, 30,1348| 5340
2,1,5,3,0.0333531, 21,1326| 5332
3,1,5,3,0.0357883, 13,1322| 5358
4,1,5,3,0.0321734, 18,1352| 5210
5,1,5,3,0.0322795, 21,1352| 5284
6,1,5,3,0.0321133, 22,1342| 5404
7,1,5,3,0.0324266, 16,1330| 5186
8,1,5,3,0.0338304, 17,1318| 5272
9,1,5,3,0.0323668, 27,1308| 5262
0,2,5,3,0.0238643, 22,1310| 5186
1,2,5,3,0.0247562, 30,1348| 5340
2,2,5,3,0.024354, 21,1326| 5332
3,2,5,3,0.0243037, 13,1322| 5358
4,2,5,3,0.0239768, 18,1352| 5210
5,2,5,3,0.0241063, 21,1352| 5284
6,2,5,3,0.0245645, 22,1342| 5404
7,2,5,3,0.0320797, 16,1330| 5186
8,2,5,3,0.0330343, 17,1318| 5272
9,2,5,3,0.0359197, 27,1308| 5262
0,3,5,3,0.0325587, 22,1310| 5186
1,3,5,3,0.0256488, 30,1348| 5340
2,3,5,3,0.024745, 21,1326| 5332
3,3,5,3,0.0250528, 13,1322| 5358
4,3,5,3,0.0240037, 18,1352| 5210
5,3,5,3,0.0243094, 21,1352| 5284
6,3,5,3,0.0254452, 22,1342| 5404
7,3,5,3,0.0238326, 16,1330| 5186
8,3,5,3,0.0346618, 17,1318| 5272
9,3,5,3,0.0360975, 27,1308| 5262
0,4,5,3,0.0330153, 22,1310| 5186
1,4,5,3,0.0346987, 30,1348| 5340
2,4,5,3,0.0375323, 21,1326| 5332
3,4,5,3,0.034554, 13,1322| 5358
4,4,5,3,0.0339782, 18,1352| 5210
5,4,5,3,0.0306542, 21,1352| 5284
6,4,5,3,0.0322957, 22,1342| 5404
7,4,5,3,0.0255828, 16,1330| 5186
8,4,5,3,0.0241115, 17,1318| 5272
9,4,5,3,0.023972, 27,1308| 5262
0,5,5,3,0.029006, 22,1310| 5186
1,5,5,3,0.0305774, 30,1348| 5340
2,5,5,3,0.0287926, 21,1326| 5332
3,5,5,3,0.0337765, 13,1322| 5358
4,5,5,3,0.0335097, 18,1352| 5210
5,5,5,3,0.0255442, 21,1352| 5284
6,5,5,3,0.0247881, 22,1342| 5404
7,5,5,3,0.0233901, 16,1330| 5186
8,5,5,3,0.0242243, 17,1318| 5272
9,5,5,3,0.0238328, 27,1308| 5262
0,6,5,3,0.0232334, 22,1310| 5186
1,6,5,3,0.0245831, 30,1348| 5340
2,6,5,3,0.0271356, 21,1326| 5332
3,6,5,3,0.034389, 13,1322| 5358
4,6,5,3,0.0314679, 18,1352| 5210
5,6,5,3,0.0344055, 21,1352| 5284
6,6,5,3,0.0254958, 22,1342| 5404
7,6,5,3,0.0236635, 16,1330| 5186
8,6,5,3,0.0241604, 17,1318| 5272
9,6,5,3,0.0237212, 27,1308| 5262
0,7,5,3,0.0230639, 22,1310| 5186
1,7,5,3,0.0244148, 30,1348| 5340
2,7,5,3,0.0239069, 21,1326| 5332
3,7,5,3,0.0322404, 13,1322| 5358
4,7,5,3,0.0360429, 18,1352| 5210
5,7,5,3,0.0329413, 21,1352| 5284
6,7,5,3,0.0351717, 22,1342| 5404
7,7,5,3,0.0304379, 16,1330| 5186
8,7,5,3,0.0307271, 17,1318| 5272
9,7,5,3,0.0281174, 27,1308| 5262
0,8,5,3,0.0304947, 22,1310| 5186
1,8,5,3,0.0342932, 30,1348| 5340
2,8,5,3,0.0324805, 21,1326| 5332
3,8,5,3,0.0298018, 13,1322| 5358
4,8,5,3,0.0343611, 18,1352| 5210
5,8,5,3,0.0347753, 21,1352| 5284
6,8,5,3,0.0359037, 22,1342| 5404
7,8,5,3,0.0339139, 16,1330| 5186
8,8,5,3,0.0334432, 17,1318| 5272
9,8,5,3,0.0334463, 27,1308| 5262
0,9,5,3,0.0302756, 22,1310| 5186
1,9,5,3,0.0309658, 30,1348| 5340
2,9,5,3,0.030565, 21,1326| 5332
3,9,5,3,0.0302091, 13,1322| 5358
4,9,5,3,0.023998, 18,1352| 5210
5,9,5,3,0.0247242, 21,1352| 5284
6,9,5,3,0.0260108, 22,1342| 5404
7,9,5,3,0.032238, 16,1330| 5186
8,9,5,3,0.0321703, 17,1318| 5272
9,9,5,3,0.0276551, 27,1308| 5262
0,0,5,4,0.0331805, 22,1310| 5186
1,0,5,4,0.0357196, 30,1348| 5340
2,0,5,4,0.0360322, 21,1326| 5332
3,0,5,4,0.0361142, 13,1322| 5358
4,0,5,4,0.0361254, 18,1352| 5210
5,0,5,4,0.0370202, 21,1352| 5284
6,0,5,4,0.0369921, 22,1342| 5404
7,0,5,4,0.0361445, 16,1330| 5186
8,0,5,4,0.0366213, 17,1318| 5272
9,0,5,4,0.0354199, 27,1308| 5262
0,1,5,4,0.0348599, 22,1310| 5186
1,1,5,4,0.0355682, 30,1348| 5340
2,1,5,4,0.0348375, 21,1326| 5332
3,1,5,4,0.0356429, 13,1322| 5358
4,1,5,4,0.0365257, 18,1352| 5210
5,1,5,4,0.0371363, 21,1352| 5284
6,1,5,4,0.0386188, 22,1342| 5404
7,1,5,4,0.0366199, 16,1330| 5186
8,1,5,4,0.03617, 17,1318| 5272
9,1,5,4,0.0360112, 27,1308| 5262
0,2,5,4,0.0361333, 22,1310| 5186
1,2,5,4,0.0373535, 30,1348| 5340
2,2,5,4,0.03652, 21,1326| 5332
3,2,5,4,0.0364628, 13,1322| 5358
4,2,5,4,0.0355654, 18,1352| 5210
5,2,5,4,0.0349398, 21,1352| 5284
6,2,5,4,0.0354702, 22,1342| 5404
7,2,5,4,0.0365653, 16,1330| 5186
8,2,5,4,0.0402291, 17,1318| 5272
9,2,5,4,0.0342875, 27,1308| 5262
0,3,5,4,0.0327756, 22,1310| 5186
1,3,5,4,0.0367641, 30,1348| 5340
2,3,5,4,0.0363498, 21,1326| 5332
3,3,5,4,0.0364435, 13,1322| 5358
4,3,5,4,0.0354161, 18,1352| 5210
5,3,5,4,0.0366933, 21,1352| 5284
6,3,5,4,0.0370972, 22,1342| 5404
7,3,5,4,0.0378895, 16,1330| 5186
8,3,5,4,0.0388529, 17,1318| 5272
9,3,5,4,0.037334, 27,1308| 5262
0,4,5,4,0.0334604, 22,1310| 5186
1,4,5,4,0.0352199, 30,1348| 5340
2,4,5,4,0.0346184, 21,1326| 5332
3,4,5,4,0.0345056, 13,1322| 5358
4,4,5,4,0.0339935, 18,1352| 5210
5,4,5,4,0.0386817, 21,1352| 5284
