config_id,run,k,runtime_ms,cycles,paths
0,2,5,0.0453088, 19549,10516| 129504
0,3,5,0.0460062, 19549,10516| 129504
0,4,5,0.0452373, 19549,10516| 129504
0,5,5,0.0445364, 19549,10516| 129504
0,6,5,0.0671742, 19549,10516| 129504
0,7,5,0.0836077, 19549,10516| 129504
0,8,5,0.0456548, 19549,10516| 129504
0,9,5,0.0458426, 19549,10516| 129504
1,0,5,0.0141757, 63,4430| 14236
1,1,5,0.0137055, 63,4430| 14236
1,2,5,0.0136557, 63,4430| 14236
1,3,5,0.0137062, 63,4430| 14236
1,4,5,0.0141244, 63,4430| 14236
1,5,5,0.0145721, 63,4430| 14236
1,6,5,0.0189855, 63,4430| 14236
1,7,5,0.0214741, 63,4430| 14236
1,8,5,0.0154934, 63,4430| 14236
1,9,5,0.0162077, 63,4430| 14236
2,0,5,14.1565, 2461056,250702| 7411634
2,1,5,13.6969, 2461056,250702| 7411634
2,2,5,12.8882, 2461056,250702| 7411634
2,3,5,13.033, 2461056,250702| 7411634
2,4,5,13.1981, 2461056,250702| 7411634
2,5,5,13.1315, 2461056,250702| 7411634
2,6,5,13.1953, 2461056,250702| 7411634
2,7,5,13.2178, 2461056,250702| 7411634
2,8,5,13.2271, 2461056,250702| 7411634
2,9,5,13.1, 2461056,250702| 7411634
3,0,5,0.0554757, 2,6160| 14939
3,1,5,0.0552413, 2,6160| 14939
3,2,5,0.0569661, 2,6160| 14939
3,3,5,0.0735915, 2,6160| 14939
3,4,5,0.0555956, 2,6160| 14939
3,5,5,0.0648983, 2,6160| 14939
3,6,5,0.0544915, 2,6160| 14939
3,7,5,0.0661869, 2,6160| 14939
3,8,5,0.0543091, 2,6160| 14939
3,9,5,0.0594575, 2,6160| 14939
4,0,5,0.289682, 1821,28228| 108236
4,1,5,0.271155, 1821,28228| 108236
4,2,5,0.204475, 1821,28228| 108236
4,3,5,0.298204, 1821,28228| 108236
4,4,5,0.205152, 1821,28228| 108236
4,5,5,0.370573, 1821,28228| 108236
4,6,5,0.245138, 1821,28228| 108236
4,7,5,0.279861, 1821,28228| 108236
4,8,5,0.20828, 1821,28228| 108236
4,9,5,0.270195, 1821,28228| 108236
0,0,6,0.407516, 167941,118988
0,1,6,0.427904, 167941,118988
0,2,6,0.373721, 167941,118988
0,3,6,0.411805, 167941,118988
0,4,6,0.391579, 167941,118988
0,5,6,0.441736, 167941,118988
0,6,6,0.358658, 167941,118988
0,7,6,0.394444, 167941,118988
0,8,6,0.418862, 167941,118988
0,9,6,0.470791, 167941,118988
1,0,6,0.0130887, 79,9806
1,1,6,0.012326, 79,9806
1,2,6,0.0131569, 79,9806
1,3,6,0.0216236, 79,9806
1,4,6,0.0192738, 79,9806
1,5,6,0.0199571, 79,9806
1,6,6,0.0158851, 79,9806
1,7,6,0.0192227, 79,9806
1,8,6,0.0205793, 79,9806
1,9,6,0.0169544, 79,9806
3,0,6,0.0731106, 2,8779
3,1,6,0.0560627, 2,8779
3,2,6,0.0567746, 2,8779
3,3,6,0.0343237, 2,8779
3,4,6,0.0362606, 2,8779
3,5,6,0.0560322, 2,8779
3,6,6,0.0521858, 2,8779
3,7,6,0.057631, 2,8779
3,8,6,0.0437505, 2,8779
3,9,6,0.0358758, 2,8779
4,0,6,0.217772, 4563,80008
4,1,6,0.266855, 4563,80008
4,2,6,0.238261, 4563,80008
4,3,6,0.231857, 4563,80008
4,4,6,0.239717, 4563,80008
4,5,6,0.261922, 4563,80008
4,6,6,0.231024, 4563,80008
4,7,6,0.258022, 4563,80008
4,8,6,0.250451, 4563,80008
4,9,6,0.231107, 4563,80008
0,0,7,9.30407, 1341966,118988| 1424732
0,1,7,9.03008, 1341966,118988| 1424732
0,2,7,9.51007, 1341966,118988| 1424732
0,3,7,9.21221, 1341966,118988| 1424732
